topology,config,success_rate_mean,best_reward_mean,n_seeds,encoder,action_space,fc_mode,bounds
All_Pass,circuit_device,79.66666666666667,0.9255982932890566,3,circuit,device,spec,electrical
All_Pass,circuit_slot,76.66666666666667,0.9432699343600235,3,circuit,slot,spec,electrical
All_Pass,gin_device,79.33333333333333,0.9402967043791001,3,gin,device,spec,electrical
All_Pass,gin_slot,70.5,0.9466403313666115,3,gin,slot,spec,electrical
Loaded_Line,circuit_device,0.0,-5.0,3,circuit,device,spec,electrical
Loaded_Line,circuit_slot,0.0,-5.0,3,circuit,slot,spec,electrical
Loaded_Line,gin_device,0.0,-5.0,3,gin,device,spec,electrical
Loaded_Line,gin_slot,0.0,-5.0,3,gin,slot,spec,electrical
Reflection_Type,circuit_device,0.0,-5.0,3,circuit,device,spec,electrical
Reflection_Type,circuit_slot,0.5,-1.0518203785351272,3,circuit,slot,spec,electrical
Reflection_Type,gin_device,0.0,-5.0,3,gin,device,spec,electrical
Reflection_Type,gin_slot,0.6666666666666666,-3.0431722347924475,3,gin,slot,spec,electrical
Switched_Filter,circuit_device,57.0,0.7606237491865403,3,circuit,device,spec,electrical
Switched_Filter,circuit_slot,61.333333333333336,2.107907449724924,3,circuit,slot,spec,electrical
Switched_Filter,gin_device,56.5,0.7424058165114028,3,gin,device,spec,electrical
Switched_Filter,gin_slot,63.0,2.1177593752265502,3,gin,slot,spec,electrical
Switched_Line,circuit_device,98.0,0.993144338602559,3,circuit,device,spec,electrical
Switched_Line,circuit_slot,98.16666666666667,1.0133142752860465,3,circuit,slot,spec,electrical
Switched_Line,gin_device,98.5,1.003776662222387,3,gin,device,spec,electrical
Switched_Line,gin_slot,98.5,1.0019549327420518,3,gin,slot,spec,electrical
Vector_Modulator,circuit_device,97.16666666666667,2.1838625926681927,3,circuit,device,spec,electrical
Vector_Modulator,circuit_slot,95.83333333333333,2.069991892500811,3,circuit,slot,spec,electrical
Vector_Modulator,gin_device,96.5,2.1913668659444685,3,gin,device,spec,electrical
Vector_Modulator,gin_slot,97.0,2.199478380105384,3,gin,slot,spec,electrical
