topology,config,success_rate_mean,best_reward_mean,n_seeds
Loaded_Line,dying_relu,76.5,2.0432018222992823,3
Loaded_Line,sage_ln,75.16666666666667,2.039749430116951,3
Loaded_Line,gin,76.66666666666667,2.042008557328827,3
Switched_Line,dying_relu,100.0,2.157104674402073,3
Switched_Line,sage_ln,100.0,2.1602401041661388,3
Switched_Line,gin,100.0,2.1696284340424294,3
Reflection_Type,dying_relu,59.166666666666664,2.106166548781949,3
Reflection_Type,sage_ln,58.333333333333336,2.09179471288418,3
Reflection_Type,gin,61.166666666666664,2.1007557012859555,3
Switched_Filter,dying_relu,17.833333333333332,1.550507484230075,3
Switched_Filter,sage_ln,18.333333333333332,1.539396543878792,3
Switched_Filter,gin,17.666666666666668,1.5452626933912381,3
Vector_Modulator,dying_relu,99.66666666666667,2.148396630336152,3
Vector_Modulator,sage_ln,98.83333333333333,2.19274589678183,3
Vector_Modulator,gin,100.0,2.1670145025182115,3
All_Pass,dying_relu,0.0,-5.0,3
All_Pass,sage_ln,0.0,-5.0,3
All_Pass,gin,0.0,-3.1747235737838078,3
