topology,fc_ghz,RS,DE,SA,BO
Loaded_Line,28.0,3.3333333333333335,14.333333333333334,26.666666666666668,9.0
Loaded_Line,38.0,4.333333333333333,11.0,12.666666666666666,15.666666666666666
Switched_Line,14.0,9.0,,14.0,22.0
Switched_Line,24.0,4.0,8.666666666666666,41.0,8.333333333333334
Vector_Modulator,5.0,,,,
Vector_Modulator,8.0,88.66666666666667,191.0,356.0,70.33333333333333
Reflection_Type,28.0,,,,
Reflection_Type,10.0,41.333333333333336,19.0,50.666666666666664,6.666666666666667
All_Pass,2.4,,,,
Switched_Filter,18.0,138.0,182.0,198.66666666666666,22.0
