method,budget,mean_reward,std_reward
RS,1,0.7721,0.2895
RS,10,1.4330,0.6477
RS,50,1.6853,0.4873
RS,200,1.8553,0.4972
RS,1000,1.9260,0.4944
DE,1,0.8246,0.3515
DE,10,1.3260,0.4291
DE,50,1.6328,0.5691
DE,200,1.7572,0.4757
DE,1000,1.8994,0.4784
SA,1,0.7968,0.3380
SA,10,1.0987,0.4162
SA,50,1.4286,0.5645
SA,200,1.7665,0.5012
SA,1000,1.9562,0.4694
BO,1,0.6797,0.1602
BO,10,1.2070,0.4103
BO,50,1.7768,0.5028
BO,200,1.9198,0.4896
BO,1000,1.9198,0.4896
G-DiffPS,0,0.7114,0.05
G-DiffPS,1,0.7114,0.05
G-DiffPS,10,0.7114,0.05
G-DiffPS,50,0.7114,0.05
G-DiffPS,200,0.7114,0.05
G-DiffPS,1000,0.7114,0.05
